Data,Descricao,Valor
01/06/2026,PIX QRS KOMPRAO KOC01/06,"-31,94"
25/05/2026,PIX QRS PADARIA E C23/05,"-93,61"
25/05/2026,REND PAGO APLIC AUT MAIS,"0,01"
18/05/2026,PIX QRS DUBAI BRASI18/05,"-47,48"
15/05/2026,PIX TRANSF Paula C15/05,"-30,00"
14/05/2026,REND PAGO APLIC AUT MAIS,"0,14"
14/05/2026,PIX QRS MERCADO PAG14/05,"-175,70"
11/05/2026,PIX QRS POSTO ISLEB11/05,"-109,38"
11/05/2026,PIX QRS UNIVERSIDAD11/05,"-95,58"
11/05/2026,PIX QRS ZEPETTO BRA11/05,"-40,00"
11/05/2026,REND PAGO APLIC AUT MAIS,"0,25"
05/05/2026,PIX TRANSF Paula C05/05,"-12,00"
05/05/2026,PIX QRS FANTONI CON05/05,"-53,00"
05/05/2026,REND PAGO APLIC AUT MAIS,"0,05"
04/05/2026,REMUNERACAO/SALARIO salario,"3.209,00"
04/05/2026,PIX QRS LANCHONETE 01/05,"-51,00"
04/05/2026,PIX TRANSF BARBARA01/05,"-600,00"
04/05/2026,PIX QRS CONSORCIO N01/05,"-736,07"
04/05/2026,PIX QRS TABAHOUSE T02/05,"-448,00"
04/05/2026,FATURA PAGA ITAU PLATINU,"-724,80"
16/04/2026,PIX QRS PAGSEGURO I16/04,"-24,79"
13/04/2026,PIX QRS WIPAY11/04,"-50,00"
10/04/2026,PIX QRS UNIVERSIDAD10/04,"-95,58"
09/04/2026,PIX TRANSF João Ma09/04,"-100,00"
06/04/2026,PIX QRS POINT DRINK03/04,"-18,00"
06/04/2026,PIX QRS THE FAMILY 03/04,"-192,59"
06/04/2026,PIX TRANSF BARBARA04/04,"-127,00"
06/04/2026,PAG BOLETO NU PAGAMENTOS SA,"-216,82"
06/04/2026,FATURA PAGA ITAU PLATINU,"-427,54"
06/04/2026,PAG BOLETO CONSORCIO NACIONAL HONDA,"-736,07"
06/04/2026,PAG BOLETO BANCO INTER SA,"-346,15"
06/04/2026,PAG BOLETO CENTRO DE ATIVIDADES BLUMENAU,"-99,75"
06/04/2026,PAG BOLETO CENTRO DE ATIVIDADES BLUMENAU,"-97,00"
06/04/2026,PAG BOLETO BLUVELLOX TELECOMUNICACOES L,"-109,99"
06/04/2026,REND PAGO APLIC AUT MAIS,"0,01"
02/04/2026,PAGTO SALARIO,"3.176,00"
02/04/2026,PIX QRS MERCADO AGU02/04,"-12,00"
02/04/2026,PIX QRS POSTO ISLEB02/04,"-92,34"
30/03/2026,RESGATE CDB Cofrinhos,"80,01"
30/03/2026,PIX TRANSF CLNT EX28/03,"-70,00"
27/03/2026,PIX TRANSF CLNT EX27/03,"-35,89"
25/03/2026,PIX QRS POSTO ISLEB25/03,"-67,50"
25/03/2026,REND PAGO APLIC AUT MAIS,"0,01"
20/03/2026,RESGATE CDB Cofrinhos,"132,00"
20/03/2026,PIX QRS CAPPTA20/03,"-132,00"
11/03/2026,PAG BOLETO BLUVELLOX TELECOMUNICACOES L,"-112,23"
11/03/2026,PIX QRS UNIVERSIDAD11/03,"-95,58"
11/03/2026,PIX TRANSF 49.331.11/03,"-543,00"
11/03/2026,REND PAGO APLIC AUT MAIS,"0,02"
10/03/2026,EST ITAU VISA 9828-5785,"427,54"
10/03/2026,ITAU VISA 9828-5785,"-427,54"
09/03/2026,PIX QRS POSTO AGRIC09/03,"-79,24"
09/03/2026,PAG BOLETO CONSORCIO NACIONAL HONDA,"-736,07"
09/03/2026,FATURA PAGA ITAU PLATINU,"-427,54"
